window_id,window_label,method,anomaly_type,count_variant,count_static,valid_n
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw1080q975,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw1080q990,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q950,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q975,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw336q990,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q950,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q975,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q010_AEw720q990,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q950,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q975,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw1080q990,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q950,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q975,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw336q990,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q950,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q975,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1080q030_AEw720q990,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw1080q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw336q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q010_AEw720q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q950,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q975,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw1080q990,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q950,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q975,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw336q990,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q950,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q975,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw1440q030_AEw720q990,Point,6,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw1080q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw336q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q010_AEw720q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q950,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q975,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw1080q990,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q950,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q975,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw336q990,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q950,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q975,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw336q030_AEw720q990,Point,3,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw1080q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw336q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q950,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q975,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q010_AEw720q990,Point,2,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q950,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q975,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw1080q990,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q950,Pattern,2,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q950,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q975,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw336q990,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q950,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q950,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q975,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q975,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q990,Pattern,0,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,DWELL_PATTERN_IFw720q030_AEw720q990,Point,5,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q950,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q950,Pattern,6,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q950,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q975,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q975,Pattern,1,4,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q975,Point,1,3,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q990,Compound,0,0,289
Calm_2019_2019-05-12_2019-05-24,Calm_2019,adaptive_IFw1080q010_AEw1080q990,Pattern,0,4,289
